MemberId,Name,Team ID,Languaages,Role,Hourly Rate,DOB,Experience,Skill Score,Availibilty,isAssigned
Mem1,Person1,Team1,"Java,CPP,C",SDE2,80,01-01-1990,4,80,40,0
Mem2,Person2,Team2,"Ruby,Python,Java",SDE2,82,02-01-1993,5,78,25,0
Mem3,Person3,Team3,"Javascript, Scala,C",SDE3,92,03-01-1989,7,77,37,0
Mem4,Person4,Team4,"Java,CPP,C",SDE1,72,04-01-1995,0,65,16,0
Mem5,Person5,Team5,"PHP,Python,Java",SDE3,95,05-01-1986,9,62,34,0
Mem6,Person6,Team6,"Python, Scala,C",SDE3,96,06-01-1985,12,58,27,0
Mem7,Person7,Team7,"Java,CPP,C",SDE1,69,07-01-1994,1,61,25,0
Mem8,Person8,Team8,"Ruby,Python,Java",SDE3,98,08-01-1984,10,85,15,0
Mem9,Person9,Team9,"Javascript,CPP,C",SDE2,87,09-01-1991,6,71,16,0
Mem10,Person10,Team10,"Java,CPP,C",SDE2,81,10-01-1992,6,45,40,0
